City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Cacu,BR,-18.5567,-51.1308,94.33,21,48,4.92,scattered clouds
225,Atherton,GB,53.5237,-2.4935,61.21,85,83,2.51,broken clouds
226,Sungaipenuh,ID,-2.0833,101.3833,64.02,95,85,2.93,overcast clouds
227,Narsaq,GL,60.9167,-46.05,44.82,62,0,2.93,clear sky
228,Alofi,NU,-19.0595,-169.9187,78.69,78,75,13.8,broken clouds
229,Yueyang,CN,29.3333,113.0919,72.82,71,1,2.35,light rain
230,Constitucion,CL,-35.3333,-72.4167,57.78,65,0,16.06,clear sky
231,Cherskiy,RU,68.75,161.3,30.63,72,84,19.26,broken clouds
232,Puliyur,IN,10.6333,78.8333,78.6,83,40,1.14,mist
233,Kaitangata,NZ,-46.2817,169.8464,41.79,92,59,4.47,broken clouds
234,Buchanan,LR,5.8808,-10.0467,74.97,92,100,10.38,moderate rain
235,Muisne,EC,0.6,-80.0333,82.51,85,96,11.36,overcast clouds
236,Utevka,RU,52.9035,50.9495,47.39,68,12,6.73,few clouds
237,Port Moresby,PG,-9.4431,147.1797,80.02,74,75,11.5,broken clouds
238,Pendleton,US,45.6721,-118.7886,80.2,17,1,5.99,clear sky
239,Shahr-E Babak,IR,30.1165,55.1186,69.85,6,0,8.03,clear sky
240,Ranghulu,CN,46.65,124.8667,57.22,93,100,11.45,overcast clouds
241,Viedma,AR,-40.8135,-62.9967,65.57,23,20,12.88,few clouds
242,Bahia Honda,CU,22.9036,-83.1592,83.43,70,92,3.53,overcast clouds
243,Manyana,BW,-23.4,21.7167,60.51,23,0,8.01,clear sky
244,Killybegs,IE,54.6333,-8.45,55.45,78,94,3.65,overcast clouds
245,Kavieng,PG,-2.5744,150.7967,80.74,78,100,12.35,light rain
246,Barsovo,RU,61.1667,73.1667,46.53,95,100,13.96,moderate rain
247,Segamat,MY,2.5148,102.8158,75.02,96,94,0.78,overcast clouds
248,Dingle,PH,10.9995,122.6711,74.95,92,100,4.56,overcast clouds
249,Itarema,BR,-2.9248,-39.9167,79.86,81,27,16.44,scattered clouds
250,Tuatapere,NZ,-46.1333,167.6833,44.82,79,88,4.92,overcast clouds
251,Souillac,MU,-20.5167,57.5167,71.98,83,75,8.05,broken clouds
252,Wanning,CN,18.8003,110.3967,79.09,87,100,6.44,overcast clouds
253,Yaan,NG,7.3833,8.5667,76.71,85,67,2.59,broken clouds
254,Cockburn Town,TC,21.4612,-71.1419,83.71,74,29,10.69,scattered clouds
255,Saldanha,ZA,-33.0117,17.9442,51.85,79,0,20.24,clear sky
256,Antofagasta,CL,-23.65,-70.4,58.28,74,14,9.75,few clouds
257,Vanimo,PG,-2.6741,141.3028,77.13,89,91,4.5,light rain
258,Yeroham,IL,30.9872,34.9314,68.54,74,1,14.88,clear sky
259,Hammerfest,NO,70.6634,23.6821,43.25,75,75,3.44,broken clouds
260,Sept-Iles,CA,50.2001,-66.3821,52.32,97,90,5.01,mist
261,Necochea,AR,-38.5473,-58.7368,55.04,70,19,9.22,few clouds
262,Gasa,PS,31.5,34.4667,78.91,63,0,9.98,clear sky
263,Faanui,PF,-16.4833,-151.75,78.82,74,6,18.21,clear sky
264,Suez,EG,29.9737,32.5263,75.99,67,0,9.91,clear sky
265,Mayo,US,38.8876,-76.5119,90.12,73,91,4.0,overcast clouds
266,Singapore,SG,1.2897,103.8501,80.55,87,75,2.3,broken clouds
267,Jieshi,CN,22.8134,115.8257,82.35,68,8,5.73,light rain
268,Krasnoselkup,RU,65.7,82.4667,39.49,92,99,4.68,overcast clouds
