City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Siva,EG,78.78,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
465,Fare,PF,78.93,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
466,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
467,Kavaratti,IN,81.46,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
468,Abu Zabad,SD,81.81,overcast clouds,12.35,29.25,حامد محمد نور
470,Spearfish,US,88.09,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
471,Canavieiras,BR,73.99,clear sky,-15.675,-38.9472,Bahiadomizil
473,Mattru,SL,72.7,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
474,Sturgis,US,76.98,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
475,Kieta,PG,79.57,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
478,Bressuire,FR,69.39,broken clouds,46.9167,-0.5,La Coudrière
479,Caronport,CA,69.98,clear sky,50.4501,-105.8179,Pilgrim Inn
482,Pacific Grove,US,86.02,clear sky,36.6177,-121.9166,Lovers Point Inn
485,Luangwa,ZM,74.61,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
486,Freeport,US,88.3,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
487,Huaihua,CN,72.27,light rain,27.5494,109.9592,怀化天庆大酒店
488,Hamilton,US,78.75,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
489,Bangkok,TH,78.93,light rain,13.75,100.5167,Pathumwan Princess Hotel
490,Axim,GH,74.86,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
492,Cuamba,MZ,77.38,clear sky,-14.8031,36.5372,Hotel Vision
493,Chau Doc,VN,76.95,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
498,Preeceville,CA,70.72,broken clouds,51.95,-102.6677,Golden West Hotel
499,Sola,VU,78.98,scattered clouds,-13.8833,167.55,Leumerus Bungalows
500,Berbera,SO,89.26,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
501,Puerto Leguizamo,CO,72.07,overcast clouds,-0.1934,-74.7819,la casona de juancho
503,Dicabisagan,PH,77.31,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
504,Beira,MZ,73.49,clear sky,-19.8436,34.8389,Beira Terrace Hotel
506,Muli,MV,81.77,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
508,Peniche,PT,69.3,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
509,Esna,EG,85.39,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
510,Zhob,PK,78.21,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
511,Susanville,US,89.82,clear sky,40.4163,-120.653,Comfort Inn & Suites
513,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
515,Acarau,BR,80.35,few clouds,-2.8856,-40.12,castelo pizzaria
517,Sanming,CN,73.89,scattered clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
521,Kralendijk,BQ,87.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
